TIME_UNITS: SECONDS
SERIE_INITIAL_DATA: 2024 1 1 0 0 0
NAME : Mare esquematica 
COORD_X : 26.03478
COORD_Y : 40.7444

Date   U  V  N N2
<BeginTimeSerie>
0.00E+00 -6.58E-03 -1.34E-02 2.01E+00 2.01E+00
6.00E+02 -5.62E-03 -1.38E-02 1.93E+00 1.93E+00
1.20E+03 -4.61E-03 -1.41E-02 1.84E+00 1.84E+00
1.80E+03 -3.58E-03 -1.43E-02 1.76E+00 1.76E+00
2.40E+03 -2.52E-03 -1.44E-02 1.69E+00 1.69E+00
3.00E+03 -1.44E-03 -1.44E-02 1.61E+00 1.61E+00
3.60E+03 -3.53E-04 -1.43E-02 1.53E+00 1.54E+00
4.20E+03 7.38E-04 -1.41E-02 1.46E+00 1.47E+00
4.80E+03 1.82E-03 -1.38E-02 1.40E+00 1.40E+00
5.40E+03 2.90E-03 -1.34E-02 1.34E+00 1.34E+00
6.00E+03 3.95E-03 -1.29E-02 1.28E+00 1.29E+00
6.60E+03 4.97E-03 -1.23E-02 1.23E+00 1.24E+00
7.20E+03 5.96E-03 -1.17E-02 1.18E+00 1.19E+00
7.80E+03 6.91E-03 -1.09E-02 1.14E+00 1.15E+00
8.40E+03 7.80E-03 -1.01E-02 1.10E+00 1.12E+00
9.00E+03 8.65E-03 -9.15E-03 1.07E+00 1.09E+00
9.60E+03 9.43E-03 -8.18E-03 1.05E+00 1.07E+00
1.02E+04 1.01E-02 -7.15E-03 1.04E+00 1.06E+00
1.08E+04 1.08E-02 -6.06E-03 1.03E+00 1.05E+00
1.14E+04 1.13E-02 -4.94E-03 1.03E+00 1.05E+00
1.20E+04 1.18E-02 -3.77E-03 1.03E+00 1.06E+00
1.26E+04 1.22E-02 -2.59E-03 1.04E+00 1.07E+00
1.32E+04 1.25E-02 -1.38E-03 1.06E+00 1.09E+00
1.38E+04 1.28E-02 -1.62E-04 1.09E+00 1.12E+00
1.44E+04 1.29E-02 1.06E-03 1.12E+00 1.15E+00
1.50E+04 1.29E-02 2.27E-03 1.16E+00 1.19E+00
1.56E+04 1.29E-02 3.46E-03 1.20E+00 1.23E+00
1.62E+04 1.27E-02 4.63E-03 1.25E+00 1.28E+00
1.68E+04 1.25E-02 5.77E-03 1.31E+00 1.33E+00
1.74E+04 1.22E-02 6.86E-03 1.37E+00 1.39E+00
1.80E+04 1.18E-02 7.91E-03 1.43E+00 1.46E+00
1.86E+04 1.13E-02 8.90E-03 1.50E+00 1.52E+00
1.92E+04 1.07E-02 9.83E-03 1.58E+00 1.59E+00
1.98E+04 1.01E-02 1.07E-02 1.65E+00 1.67E+00
2.04E+04 9.36E-03 1.15E-02 1.73E+00 1.74E+00
2.10E+04 8.57E-03 1.22E-02 1.81E+00 1.82E+00
2.16E+04 7.72E-03 1.28E-02 1.89E+00 1.89E+00
2.22E+04 6.82E-03 1.33E-02 1.97E+00 1.97E+00
2.28E+04 5.87E-03 1.37E-02 2.05E+00 2.05E+00
2.34E+04 4.88E-03 1.41E-02 2.14E+00 2.13E+00
2.40E+04 3.85E-03 1.43E-02 2.22E+00 2.20E+00
2.46E+04 2.80E-03 1.44E-02 2.30E+00 2.28E+00
2.52E+04 1.72E-03 1.45E-02 2.37E+00 2.35E+00
2.58E+04 6.38E-04 1.44E-02 2.45E+00 2.42E+00
2.64E+04 -4.53E-04 1.42E-02 2.52E+00 2.49E+00
2.70E+04 -1.54E-03 1.39E-02 2.59E+00 2.55E+00
2.76E+04 -2.62E-03 1.35E-02 2.65E+00 2.61E+00
2.82E+04 -3.67E-03 1.31E-02 2.71E+00 2.67E+00
2.88E+04 -4.71E-03 1.25E-02 2.76E+00 2.72E+00
2.94E+04 -5.71E-03 1.18E-02 2.81E+00 2.76E+00
3.00E+04 -6.66E-03 1.11E-02 2.85E+00 2.80E+00
3.06E+04 -7.57E-03 1.03E-02 2.89E+00 2.83E+00
3.12E+04 -8.43E-03 9.40E-03 2.92E+00 2.86E+00
3.18E+04 -9.23E-03 8.44E-03 2.94E+00 2.88E+00
3.24E+04 -9.96E-03 7.42E-03 2.96E+00 2.89E+00
3.30E+04 -1.06E-02 6.35E-03 2.97E+00 2.90E+00
3.36E+04 -1.12E-02 5.23E-03 2.97E+00 2.90E+00
3.42E+04 -1.17E-02 4.08E-03 2.97E+00 2.90E+00
3.48E+04 -1.21E-02 2.90E-03 2.96E+00 2.89E+00
3.54E+04 -1.25E-02 1.70E-03 2.94E+00 2.87E+00
3.60E+04 -1.27E-02 4.81E-04 2.92E+00 2.85E+00
3.66E+04 -1.29E-02 -7.38E-04 2.89E+00 2.82E+00
3.72E+04 -1.29E-02 -1.95E-03 2.85E+00 2.78E+00
3.78E+04 -1.29E-02 -3.15E-03 2.81E+00 2.74E+00
3.84E+04 -1.28E-02 -4.33E-03 2.76E+00 2.70E+00
3.90E+04 -1.26E-02 -5.47E-03 2.71E+00 2.65E+00
3.96E+04 -1.23E-02 -6.58E-03 2.65E+00 2.59E+00
4.02E+04 -1.19E-02 -7.64E-03 2.58E+00 2.53E+00
4.08E+04 -1.14E-02 -8.65E-03 2.52E+00 2.47E+00
4.14E+04 -1.09E-02 -9.59E-03 2.44E+00 2.41E+00
4.20E+04 -1.03E-02 -1.05E-02 2.37E+00 2.34E+00
4.26E+04 -9.55E-03 -1.13E-02 2.29E+00 2.27E+00
4.32E+04 -8.78E-03 -1.20E-02 2.21E+00 2.19E+00
4.38E+04 -7.95E-03 -1.26E-02 2.13E+00 2.12E+00
4.44E+04 -7.06E-03 -1.32E-02 2.05E+00 2.05E+00
4.50E+04 -6.12E-03 -1.36E-02 1.97E+00 1.97E+00
4.56E+04 -5.14E-03 -1.40E-02 1.89E+00 1.90E+00
4.62E+04 -4.12E-03 -1.42E-02 1.81E+00 1.82E+00
4.68E+04 -3.08E-03 -1.44E-02 1.73E+00 1.75E+00
4.74E+04 -2.01E-03 -1.45E-02 1.65E+00 1.68E+00
4.80E+04 -9.23E-04 -1.44E-02 1.57E+00 1.62E+00
4.86E+04 1.67E-04 -1.43E-02 1.50E+00 1.55E+00
4.92E+04 1.26E-03 -1.40E-02 1.43E+00 1.49E+00
4.98E+04 2.34E-03 -1.37E-02 1.37E+00 1.43E+00
5.04E+04 3.40E-03 -1.32E-02 1.31E+00 1.38E+00
5.10E+04 4.44E-03 -1.27E-02 1.25E+00 1.33E+00
5.16E+04 5.45E-03 -1.20E-02 1.20E+00 1.29E+00
5.22E+04 6.42E-03 -1.13E-02 1.16E+00 1.25E+00
5.28E+04 7.34E-03 -1.05E-02 1.12E+00 1.22E+00
5.34E+04 8.21E-03 -9.64E-03 1.09E+00 1.19E+00
5.40E+04 9.02E-03 -8.70E-03 1.06E+00 1.17E+00
5.46E+04 9.77E-03 -7.69E-03 1.04E+00 1.15E+00
5.52E+04 1.05E-02 -6.64E-03 1.03E+00 1.14E+00
5.58E+04 1.11E-02 -5.53E-03 1.03E+00 1.14E+00
5.64E+04 1.16E-02 -4.39E-03 1.03E+00 1.14E+00
5.70E+04 1.20E-02 -3.21E-03 1.04E+00 1.15E+00
5.76E+04 1.24E-02 -2.01E-03 1.05E+00 1.17E+00
5.82E+04 1.27E-02 -7.99E-04 1.07E+00 1.19E+00
5.88E+04 1.28E-02 4.19E-04 1.10E+00 1.21E+00
5.94E+04 1.29E-02 1.63E-03 1.14E+00 1.25E+00
6.00E+04 1.29E-02 2.84E-03 1.18E+00 1.28E+00
6.06E+04 1.28E-02 4.02E-03 1.23E+00 1.33E+00
6.12E+04 1.26E-02 5.18E-03 1.28E+00 1.37E+00
6.18E+04 1.24E-02 6.29E-03 1.34E+00 1.42E+00
6.24E+04 1.20E-02 7.37E-03 1.40E+00 1.48E+00
6.30E+04 1.16E-02 8.39E-03 1.47E+00 1.54E+00
6.36E+04 1.10E-02 9.35E-03 1.54E+00 1.60E+00
6.42E+04 1.04E-02 1.02E-02 1.61E+00 1.66E+00
6.48E+04 9.74E-03 1.11E-02 1.69E+00 1.73E+00
6.54E+04 8.99E-03 1.18E-02 1.77E+00 1.80E+00
6.60E+04 8.17E-03 1.25E-02 1.85E+00 1.87E+00
6.66E+04 7.30E-03 1.30E-02 1.93E+00 1.94E+00
6.72E+04 6.37E-03 1.35E-02 2.01E+00 2.01E+00
6.78E+04 5.40E-03 1.39E-02 2.09E+00 2.08E+00
6.84E+04 4.39E-03 1.42E-02 2.17E+00 2.15E+00
6.90E+04 3.35E-03 1.44E-02 2.25E+00 2.22E+00
6.96E+04 2.29E-03 1.45E-02 2.33E+00 2.28E+00
7.02E+04 1.21E-03 1.44E-02 2.41E+00 2.35E+00
7.08E+04 1.19E-04 1.43E-02 2.48E+00 2.41E+00
7.14E+04 -9.72E-04 1.41E-02 2.55E+00 2.47E+00
7.20E+04 -2.05E-03 1.38E-02 2.62E+00 2.52E+00
7.26E+04 -3.12E-03 1.33E-02 2.68E+00 2.57E+00
7.32E+04 -4.17E-03 1.28E-02 2.73E+00 2.62E+00
7.38E+04 -5.19E-03 1.22E-02 2.79E+00 2.66E+00
7.44E+04 -6.17E-03 1.15E-02 2.83E+00 2.70E+00
7.50E+04 -7.10E-03 1.07E-02 2.87E+00 2.73E+00
7.56E+04 -7.99E-03 9.87E-03 2.91E+00 2.76E+00
7.62E+04 -8.82E-03 8.95E-03 2.93E+00 2.78E+00
7.68E+04 -9.58E-03 7.96E-03 2.95E+00 2.80E+00
7.74E+04 -1.03E-02 6.92E-03 2.97E+00 2.81E+00
7.80E+04 -1.09E-02 5.82E-03 2.97E+00 2.81E+00
7.86E+04 -1.15E-02 4.69E-03 2.97E+00 2.81E+00
7.92E+04 -1.19E-02 3.52E-03 2.97E+00 2.81E+00
7.98E+04 -1.23E-02 2.33E-03 2.95E+00 2.79E+00
8.04E+04 -1.26E-02 1.12E-03 2.93E+00 2.77E+00
